TOP.5dfb42f2.000e130f	START
TOP.5dfb42f2.000e130f	user_options->markov_disable	0
TOP.5dfb42f2.000e130f	user_options->markov_threshold	256
TOP.5dfb42f2.000e130f	user_options->nvidia_spin_damp	100
TOP.5dfb42f2.000e130f	user_options->opencl_info	0
TOP.5dfb42f2.000e130f	user_options->opencl_vector_width	0
TOP.5dfb42f2.000e130f	user_options->optimized_kernel_enable	0
TOP.5dfb42f2.000e130f	user_options->outfile_autohex	1
TOP.5dfb42f2.000e130f	user_options->outfile_check_timer	5
TOP.5dfb42f2.000e130f	user_options->outfile_format	3
TOP.5dfb42f2.000e130f	user_options->wordlist_autohex_disable	0
TOP.5dfb42f2.000e130f	user_options->potfile_disable	0
TOP.5dfb42f2.000e130f	user_options->progress_only	0
TOP.5dfb42f2.000e130f	user_options->quiet	1
TOP.5dfb42f2.000e130f	user_options->remove	0
TOP.5dfb42f2.000e130f	user_options->remove_timer	60
TOP.5dfb42f2.000e130f	user_options->restore	0
TOP.5dfb42f2.000e130f	user_options->restore_disable	1
TOP.5dfb42f2.000e130f	user_options->restore_timer	60
TOP.5dfb42f2.000e130f	user_options->rp_files_cnt	0
TOP.5dfb42f2.000e130f	user_options->rp_gen	0
TOP.5dfb42f2.000e130f	user_options->rp_gen_func_max	4
TOP.5dfb42f2.000e130f	user_options->rp_gen_func_min	1
TOP.5dfb42f2.000e130f	user_options->rp_gen_seed	0
TOP.5dfb42f2.000e130f	user_options->runtime	0
TOP.5dfb42f2.000e130f	user_options->scrypt_tmto	0
TOP.5dfb42f2.000e130f	user_options->segment_size	33554432
TOP.5dfb42f2.000e130f	user_options->self_test_disable	0
TOP.5dfb42f2.000e130f	user_options->slow_candidates	0
TOP.5dfb42f2.000e130f	user_options->show	1
TOP.5dfb42f2.000e130f	user_options->speed_only	0
TOP.5dfb42f2.000e130f	user_options->status	0
TOP.5dfb42f2.000e130f	user_options->status_timer	10
TOP.5dfb42f2.000e130f	user_options->stdout_flag	0
TOP.5dfb42f2.000e130f	user_options->usage	0
TOP.5dfb42f2.000e130f	user_options->username	1
TOP.5dfb42f2.000e130f	user_options->veracrypt_pim	0
TOP.5dfb42f2.000e130f	user_options->version	0
TOP.5dfb42f2.000e130f	user_options->workload_profile	2
TOP.5dfb42f2.000e130f	user_options->brain_client	0
TOP.5dfb42f2.000e130f	user_options->brain_client_features	3
TOP.5dfb42f2.000e130f	user_options->brain_server	0
TOP.5dfb42f2.000e130f	user_options->brain_port	6863
TOP.5dfb42f2.000e130f	user_options->brain_session	0
TOP.5dfb42f2.000e130f	proc_start	1576747762
TOP.5dfb42f2.000e130f	proc_stop	1576747762
TOP.5dfb42f2.000e130f	STOP
TOP.5dfb432c.00034e49	START
TOP.5dfb432c.00034e49	user_options->separator	:
TOP.5dfb432c.00034e49	user_options->encoding_from	utf-8
TOP.5dfb432c.00034e49	user_options->encoding_to	utf-8
TOP.5dfb432c.00034e49	user_options->opencl_device_types	2
TOP.5dfb432c.00034e49	user_options->outfile	hashcat_root.txt
TOP.5dfb432c.00034e49	user_options->rule_buf_l	:
TOP.5dfb432c.00034e49	user_options->rule_buf_r	:
TOP.5dfb432c.00034e49	user_options->session	show
